,lyric,youtube,melon,bugs,genie,total
휩쓸다,0,1,0,0,0,1.0
장,0,0,0,0,4,4.0
장사,0,0,0,0,1,1.0
모으다,0,0,0,0,1,1.0
기어오르다,0,0,0,1,2,3.0
것,0,5,0,2,18,25.0
소문,0,0,0,0,1,1.0
욤,0,0,0,1,0,1.0
저리,0,0,0,0,2,2.0
수령,0,0,0,0,4,4.0
진짜벜벜,0,0,0,0,1,1.0
웃다,0,1,0,0,0,1.0
군대,0,0,0,1,6,7.0
더,0,0,0,0,10,10.0
영,0,0,0,0,1,1.0
서서히,0,0,0,0,1,1.0
명불허전,0,0,0,0,5,5.0
손자,0,0,0,0,1,1.0
더욱,0,0,0,0,1,1.0
돌파,0,0,0,0,1,1.0
벚기덕,0,0,0,0,1,1.0
이름,0,0,0,1,0,1.0
늬,0,0,0,1,0,1.0
감상,0,0,0,0,1,1.0
적금,0,0,0,0,1,1.0
들려오다,6,0,0,0,1,7.0
이만,0,0,0,2,0,2.0
살리다,0,0,0,0,3,3.0
저작권료,0,0,0,0,3,3.0
항상,0,0,0,1,9,10.0
벗다,0,1,0,0,1,2.0
잖다,0,0,0,0,1,1.0
짐심,0,0,0,1,0,1.0
학생,0,0,0,0,2,2.0
르,0,0,0,0,1,1.0
찾다,0,0,0,1,12,13.0
하하,0,0,0,1,1,2.0
여지,0,0,0,0,3,3.0
었더랬,0,0,0,0,1,1.0
수직,0,0,0,0,1,1.0
환갑,0,0,0,0,2,2.0
아빠,0,2,0,0,1,3.0
번,0,0,0,2,1,3.0
달다,0,0,0,0,3,3.0
맛있졍,0,0,0,0,1,1.0
바라다,0,0,0,0,1,1.0
아침,0,0,0,0,1,1.0
부암동,0,0,0,0,1,1.0
쌍벽,0,0,0,0,1,1.0
종신,0,0,0,1,0,1.0
낮,0,0,0,0,1,1.0
씨발,0,0,0,0,1,1.0
종교,0,0,0,0,1,1.0
아른거리다,0,0,0,0,1,1.0
초등,0,0,0,0,1,1.0
어쩐지,0,1,0,0,2,3.0
프로,0,0,0,0,1,1.0
출연,0,0,0,0,1,1.0
이상하다,0,0,0,0,6,6.0
축의금,0,0,0,0,1,1.0
벗,0,0,0,0,1,1.0
지방,0,0,0,0,1,1.0
드뎌,0,0,0,0,2,2.0
급,0,0,0,1,2,3.0
넹,0,0,0,0,1,1.0
즐겁다,0,0,0,1,0,1.0
짝,0,0,0,0,2,2.0
현상,0,0,0,1,0,1.0
슬프다,0,0,0,0,4,4.0
코,0,0,0,0,1,1.0
냄새,0,0,0,0,1,1.0
하위,0,0,0,0,1,1.0
두둑하다,0,1,0,0,0,1.0
시대,0,0,0,0,1,1.0
위안,0,0,0,0,1,1.0
성,0,0,0,1,0,1.0
쌀쌀하다,0,0,0,0,1,1.0
먼저,0,0,0,1,3,4.0
자연,0,0,0,0,2,2.0
천삼백만,0,0,0,0,1,1.0
맛,0,0,0,1,3,4.0
벅차다,0,0,0,0,1,1.0
붉다,0,1,0,0,0,1.0
세상,0,0,0,0,3,3.0
린다,0,0,0,0,1,1.0
왕,0,0,0,1,0,1.0
봄타다,0,0,0,0,1,1.0
지다,0,0,0,1,4,5.0
보기,0,0,0,0,1,1.0
생각,0,2,0,5,8,15.0
미치다,0,1,0,0,13,14.0
바람,9,0,0,3,4,16.0
주임,0,0,0,0,1,1.0
누가,0,0,0,0,3,3.0
정신,0,0,0,0,1,1.0
출첵,0,3,0,0,0,3.0
아웃,0,0,0,0,1,1.0
대다,0,1,0,3,4,8.0
치료,0,0,0,0,1,1.0
맘속,0,0,0,0,1,1.0
러브,0,0,0,0,1,1.0
랩,0,0,0,0,1,1.0
다시다,0,1,0,0,0,1.0
구나,0,0,0,0,2,2.0
븅신앜,0,0,0,0,1,1.0
드,0,0,0,1,1,2.0
살,0,2,0,0,3,5.0
연어,0,0,0,0,1,1.0
세,0,0,0,0,3,3.0
친구,3,2,0,0,2,7.0
꽃샘추위,0,0,0,0,3,3.0
히트,0,0,0,0,1,1.0
늘다,0,2,0,0,4,6.0
연애,0,0,0,0,2,2.0
주해,0,0,0,0,1,1.0
미래,0,0,0,0,2,2.0
마땅하다,0,0,0,0,1,1.0
므,0,0,0,0,1,1.0
컴온,0,0,0,0,1,1.0
힘드다,0,0,0,0,3,3.0
필때,0,0,0,0,1,1.0
월요일,0,0,0,0,1,1.0
남부,0,0,0,0,1,1.0
완전,0,0,0,0,7,7.0
꾸준하다,0,0,0,0,1,1.0
바,0,0,0,1,0,1.0
바리,0,0,0,0,1,1.0
수료식,0,0,0,0,1,1.0
현,0,0,0,0,2,2.0
군생활,0,0,0,0,1,1.0
훈련소,0,0,0,0,2,2.0
멜론,0,1,0,1,1,3.0
증거,0,0,0,0,1,1.0
시기,0,0,0,0,3,3.0
공중,0,0,0,0,1,1.0
느,0,0,0,0,1,1.0
잡곡,0,0,0,0,1,1.0
아무렇다,0,0,0,0,1,1.0
도안,0,0,0,0,1,1.0
껄,0,0,0,0,1,1.0
여러분,0,0,0,0,4,4.0
변하다,0,0,0,0,2,2.0
쿵,0,0,0,0,1,1.0
싫어하다,0,0,0,0,1,1.0
난장판,0,1,0,0,0,1.0
의미,0,1,0,0,0,1.0
아가,0,0,0,0,2,2.0
의문,0,0,0,0,1,1.0
두근거리다,0,0,0,0,2,2.0
바남,0,0,0,0,1,1.0
죽이다,0,0,0,1,0,1.0
반,0,0,0,1,0,1.0
난,0,0,0,2,3,5.0
울리다,18,0,0,2,5,25.0
넘다,0,0,0,3,1,4.0
샠기,0,0,0,0,1,1.0
열다,0,0,0,0,1,1.0
또왓군,0,0,0,1,0,1.0
등판,0,0,0,0,1,1.0
졸라,0,0,0,0,1,1.0
다른,0,0,0,0,2,2.0
설레다,0,1,0,5,26,32.0
제,0,0,0,0,4,4.0
후배,0,0,0,0,1,1.0
초반,0,1,0,0,0,1.0
날짜,0,1,0,0,0,1.0
강적,0,0,0,2,0,2.0
새롭다,0,0,0,0,4,4.0
논,0,1,0,0,0,1.0
영원하다,0,0,0,0,1,1.0
봄바,0,0,0,0,1,1.0
십년,0,1,0,0,3,4.0
부정,0,0,0,0,1,1.0
사랑스럽다,0,0,0,0,1,1.0
내일,0,0,0,0,1,1.0
으,0,0,0,1,0,1.0
표절,0,0,0,1,0,1.0
옛날,0,1,0,0,2,3.0
땐,0,1,0,0,3,4.0
돌아왓다,0,0,0,0,1,1.0
적지,0,1,0,0,0,1.0
최고,0,1,0,3,7,11.0
어후,0,0,0,0,1,1.0
제목,0,2,0,1,1,4.0
컴백,0,0,0,0,2,2.0
싶다,0,1,0,2,14,17.0
마,0,0,0,0,1,1.0
라가,0,1,0,0,0,1.0
약,0,0,0,0,1,1.0
피,0,0,0,0,4,4.0
어느새다,0,0,0,0,2,2.0
둘,30,0,0,0,4,34.0
하나,0,0,0,2,1,3.0
무조,0,0,0,0,1,1.0
하나로,0,0,0,1,0,1.0
잠,0,0,0,0,1,1.0
실리다,0,0,0,1,15,16.0
다시,0,1,0,10,45,56.0
괘,0,0,0,0,1,1.0
아래,0,1,0,0,1,2.0
며칠,0,0,0,0,2,2.0
장마,0,0,0,0,1,1.0
능가,0,0,0,0,1,1.0
드론,0,1,0,0,0,1.0
리얼,0,0,0,0,2,2.0
왜땜시,0,0,0,0,1,1.0
썅,0,0,0,0,1,1.0
벌,0,0,0,0,1,1.0
관련,0,0,0,0,1,1.0
정확하다,0,0,0,0,1,1.0
이해,0,0,0,0,1,1.0
담하다,0,0,0,0,1,1.0
멋있다,0,0,0,0,1,1.0
무조건,0,1,0,0,1,2.0
돌아이,0,0,0,0,1,1.0
거지,0,0,0,1,0,1.0
봄봄봄,0,0,0,1,1,2.0
러러러,0,0,0,0,3,3.0
과연,0,0,0,0,1,1.0
태어나다,0,0,0,0,2,2.0
만연하다,0,0,0,0,1,1.0
론,0,0,0,1,1,2.0
수정,0,1,0,0,0,1.0
승자,0,0,0,0,1,1.0
사랑,9,0,0,1,18,28.0
얼마나,0,0,0,0,5,5.0
햇습니,0,0,0,0,1,1.0
진국,0,0,0,0,1,1.0
구제,0,0,0,1,0,1.0
서원대,0,0,0,1,0,1.0
소리,0,0,0,1,4,5.0
쯤,0,0,0,0,3,3.0
새벽,0,0,0,0,1,1.0
추다,0,0,0,0,4,4.0
졷까세,0,0,0,0,1,1.0
화이팅,0,0,0,0,7,7.0
미쳣,0,0,0,0,1,1.0
손잡다,3,1,0,2,2,8.0
지금,0,4,0,7,18,29.0
구대,0,0,0,0,3,3.0
도입,0,0,0,1,1,2.0
금방,0,0,0,0,1,1.0
수업,0,0,0,0,1,1.0
충격,0,1,0,0,1,2.0
스펙,0,0,0,0,1,1.0
켜다,0,0,0,1,3,4.0
일,0,0,0,0,1,1.0
교과서,0,0,0,0,17,17.0
커플,0,0,0,0,4,4.0
잇다,0,0,0,1,2,3.0
고함,0,1,0,0,0,1.0
쩌넹,0,0,0,1,0,1.0
때문,0,0,0,1,5,6.0
울렁거리다,0,0,0,0,1,1.0
깨끗해지다,0,0,0,0,1,1.0
쌓이다,0,0,0,1,0,1.0
마음가짐,0,0,0,0,1,1.0
자빠지다,0,0,0,0,1,1.0
비비다,0,0,0,1,0,1.0
거,0,1,0,4,23,28.0
이나,0,0,0,0,1,1.0
언덕,0,1,0,0,0,1.0
지배자,0,0,0,0,1,1.0
백만,0,0,0,0,1,1.0
어땟,0,0,0,1,0,1.0
다니다,0,0,0,0,1,1.0
잠깐,0,0,0,0,1,1.0
왓습니,0,0,0,0,1,1.0
상부,0,0,0,0,1,1.0
치마,0,0,0,0,1,1.0
가득,0,0,0,0,1,1.0
초등학교,0,3,0,0,1,4.0
혐오,0,0,0,0,2,2.0
가쟈,0,0,0,0,1,1.0
라라,0,0,0,0,1,1.0
대표,0,0,0,0,9,9.0
맘때,0,0,0,0,2,2.0
대기권,0,0,0,0,1,1.0
생기,0,0,0,1,3,4.0
갈수,0,0,0,1,1,2.0
벚꼼좀비닥,0,0,0,1,0,1.0
마약,0,0,0,0,1,1.0
무섭다,0,3,0,2,8,13.0
버스커버스커,0,2,0,1,21,24.0
소름,0,0,0,0,1,1.0
겁나다,0,1,0,0,2,3.0
끝나다,0,0,0,3,5,8.0
세뇌,0,0,0,1,0,1.0
몰리다,0,0,0,0,1,1.0
시발,0,0,0,0,1,1.0
발매,0,0,0,0,1,1.0
옄,0,0,0,0,1,1.0
창문,0,0,0,0,1,1.0
개,0,1,0,0,13,14.0
사거리,0,1,0,0,0,1.0
죽음,0,0,0,0,1,1.0
감치,0,0,0,0,1,1.0
추억,0,0,0,0,21,21.0
어리다,0,1,0,0,0,1.0
썸,0,0,0,0,2,2.0
올라가다,0,0,0,6,24,30.0
보태,0,0,0,1,1,2.0
삼월,0,0,0,0,1,1.0
널다,0,0,0,0,1,1.0
인사,0,0,0,0,1,1.0
왤다,0,0,0,1,0,1.0
캐,0,0,0,1,0,1.0
꽃놀이,0,0,0,0,1,1.0
띵곡,0,0,0,1,3,4.0
상하,0,0,0,0,1,1.0
건,0,0,0,0,2,2.0
고객,0,0,0,0,3,3.0
봄비,0,0,0,0,1,1.0
상중,0,0,0,0,1,1.0
눌,0,0,0,0,1,1.0
환경오염,0,0,0,1,0,1.0
명반,0,0,0,0,1,1.0
