,lyric,youtube,melon,bugs,genie,total
밤,0,4,2,1,1,8.0
랜덤,0,0,0,0,1,1.0
된거,0,1,0,0,0,1.0
시적,0,1,0,0,0,1.0
울,0,1,0,0,0,1.0
스멜,0,1,0,0,0,1.0
보험,0,2,0,0,0,2.0
사촌동생,0,1,0,0,0,1.0
맞다,0,0,1,0,0,1.0
근혜,0,2,0,0,0,2.0
요즘,0,2,1,0,0,3.0
않다,0,4,3,0,1,8.0
무관,0,1,0,0,0,1.0
자주,0,1,0,0,0,1.0
봄,0,21,1,0,10,32.0
예리밴드,0,2,0,0,0,2.0
뚜룽,0,0,1,0,0,1.0
간지럽다,0,1,0,0,0,1.0
기전,0,1,0,0,0,1.0
모이다,0,1,0,0,0,1.0
천국,0,1,0,0,0,1.0
알람,0,1,0,0,0,1.0
뿐,0,1,0,0,0,1.0
감동,0,1,0,0,0,1.0
