,user,comments
224,ans***,내 스무살을 함께해줘서 고마운 노래..벌써 7년째네 ㅎㅎ내년에도 만나자
225,sd2***,또 오시는 군요
226,lik***,현재 102위요ㅋㅋ
227,zod***,성지순례 왔어요
228,ghd***,저도 페북에서 보고왔습니다ㅋㅋㅋㅋ 커플되게 해주세요
229,LLUN,69억이상벌었데요....ㅎㄷㄷ......
230,cak***,올해도 어김없이 벌써 차트인리얼 민요
231,가을무지개,결국엔 중1 교과서에 실렸습니다
232,gkd***,도입부 부터 설렌다 이게 봄이 아니면 뭐야ㅠㅠ💕💕
233,버즈,진짜 신기하다 봄만되면 생각나네 ㅋㅋㅋㅋㅋ 벌써 몇년짼거지 ㅋㅋㅋㅋㅋ
234,모양,너무조아ㅜㅠ
235,yeo***,2019년 봄에도 이노래 잘부탁해영🌸🌸
236,아ㅏ악,올해도 잘 부탁합니다
237,chl***,🌸2019에도 차트인 했습니다. 다음년도에도 확인해봅시댱🌸
238,Jino,장태식이.. 돌아왔구나!
239,h1g***,어? 또 왔니?
240,anr***,벚꽃연금...
241,sur***,돌아왔구나 벚태식이
242,아련,다시 봄.
243,다희~♡,너무 좋은노래예요~^^
244,7,this is spring
245,pos***,또 차트인
246,gob***,사랑과 봄을 노래로 배운다고 할수있을거 같아
247,aaw***,"풋풋한 20살, 대학생때 들었는데 벌써 졸업하고 취업까지했네 따스한 봄날의 추억이 생생해서 너무좋다"
248,꾸,진짜 이노래처럼 듣자마자 아 봄이다 ~ 이 느낌 빡 오는 노래도 없음 ㄹㅇ 봄 대표송
249,can***,엔딩없는 벚꽃엔딩.. 다시 시작!
250,big***,???:  살려주세요  저  여기있어요
251,ooo***,봄바람 휘날리므여~~~~~
252,red***,봄이다~~
253,prs***,역시 봄이네 ㅋㅋㅋ범준이 연금타는 계절 이노랜 언제들어도 좋다 ㅠㅠ
254,sun***,이 노래를 틀었더니... 옆에서  이 노래가 나오는걸 보니 봄이 왔는가보군.!
255,긴생머리그녀,2012년 봄🌸 부평 베스코 룸카페에서 이 노래 들었던게 아직도 생생하다..ㄷ 7년전😱😢
256,LLUN,벛꽃좀비
257,베이지,슬슬 벚꽃엔딩 들을때가 되었군
258,히릿,이렇게 날씨 좋은날 벚꽃 좀비 깨어나라!!!
259,ska***,오늘 날씨 너무 따뜻하니 절로 봄 노래가 생각난다. 봄 캐럴 하이
260,ssu***,12학번 화이팅..
261,ㅎ,12학번 아직도 수업중..
262,잠이안오네,"나도 12학번 , 정말 취업하고 들으니 새롭다..누가 뭐랬는지모르지만 마음가짐이 그때랑은 너무나 다른데 노래는 그대로 스무살이다.. 듣고있는지금 많은것들이 스치고 어찌해야할지를 모를정도로 울컥하는게있다."
263,카스타드광,오늘 날씨 뭔가 봄같아서 들으러옴
264,히동,미리 들으러 옴 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
265,hh,"2019년 2월 22일, 날 따뜻해지니 괜시리 듣고 싶어져서 옴"
266,후이,미리 들으러 왓습니다...
267,swi***,처음 이 노래를 듣던 순간들이 곡과 함께 저장되어 들을 때마다 추억에 잠기게 만드는 노래. 내게 노래 그보다 이상의 것.
268,hwe***,봄이 다가올 때 쯤이면 항상 생각나는 노래ㅋㅋ
269,체체프라다,또 스물스물 기어올라오겠네
270,big***,이제  곧이다   긴장해야해요  남친 여친 빨리 만듭시다
271,노력하는곰돌이,음..곧 연금수령일이군.. 두달만 참아야지..
272,sh0***,삐빅 3달뒤 떡상할 노래입니다!
273,lee***,"봄 노래 다 좋지만 역시 이게 최고,,"
274,dms***,고백 할때 좋은 노래 같애요
275,sow***,이거 우리 학교에서 뮤직비디오 했음
276,hwe***,해마다 역주행 하는 이 곡은....
277,ㅇㅇ,나중에 이노래 들으면 눈물날것같음 난 딴거 다 필요없고 전주만 들어도 눈물 핑 돌듯 막 몽글몽글하고
278,노짱,삶이 팍팍해지는 걸 느끼는게벚꽃도 예전같지가 않고이 노래도 덜 듣게되네요.다들 괜츈하신지
279,지니지니,이제 놀랍지도 않다. 내년에 또 봐요^^
280,lov***,또 다시 봄이 왔음을 알린다.
281,ot,매년 들어도 봄에 듣기좋은 노래중에 베스트노래입니닿ㅎ
282,ㆍ,아 지겨워 또올라왔네 했는데 왜땜시 들으면 심장이 몽골몽골해지냐고ㅜㅜ
283,ysh***,명실상부 봄의 지배자
284,둥글동글,벚꽃사골ㅋㅋ근데 벚꽃엔딩을 대체할 봄시즌송이 없으니봄 하면 이 곡이 떠오르는것 같아요
285,윤매니저,2018년 4월 봄 내년에 봐요.
286,hbn***,차트에 올라왔네요 봄노래중에 이노래만큼 설레이는 노래는 없는것같음
287,엑소는경마장못들어가,배댓들 뭔데 신고지
288,22,32위 더 가즈아
289,twilight,와 37위 실화 벚꽃좀비 가즈아
290,dbs***,피어나요 벚꽃좀비!😊
291,dnd***,벚꽃좀비
292,jos***,듣는다 1년만에~.~
293,nw1***,봄이 좋냐? 이것도있어요!!
294,hid***,1위 설마 못가나요 가겠지?
295,qne***,또 시작이겠군...
296,mae***,다시 상위권가즈아
297,sup***,"현재 31위 ! 작년에 다시 벚꽃 무대인사 갔었는데 장범준 진짜 멋있었음,,,영원히 음악해주세요 ㅠㅠ"
298,ant***,수원 벚꽃 언제펴요?
299,꒰ɞ̴̶̷·̮ɞ̴̶̷꒱,댓글 연도 진짜 다양하다ㅋㅋㅋ
300,OliveYou,아닠ㅋㅋ 어디까지 올라왔나 보려고 100위까지 쭉 내렸더니 29위에 있었네
