,user,comments,processed_comment
143,smilek6,새로 나온 신곡들 들어보다 결국 벚꽃엔딩만 반복한다.지겹다 그러다가도 벚꽃 필째 되면 그냥 듣고 좋구나~ 한다.,"['새롭다', '나오다', '신곡', '들다', '벚꽃', '엔딩', '반복', '하다', '지겹다', '그렇다', '벚꽃', '필', '되다', '그냥', '듣다', '좋다', '하다']"
144,any***,벚꽃연금,"['벚꽃', '연금']"
145,딸기우유,"내 스무살 첫 사랑을 하던 봄에 듣던 노래. 아직도 이 노래만 들으면 그때 그 버스안에서 봤던 벚꽃이 가득하던 부암동 풍경이, 그때의 그 설렘이 느껴져요. 이런게 음악의 힘인가 ㅎㅎ","['내', '스무살', '첫', '사랑', '하다', '봄', '듣다', '노래', '이', '노래', '들다', '그때', '그', '버스', '안', '보다', '벚꽃', '가득하다', '부암동', '풍경', '그때', '그', '설레다', '느껴지다', '이렇다', '음악', '힘']"
146,sod***,10위까지는 가지 않을까,"['위', '가지', '않다']"
147,ppusan0077,노래가 정말 좋네요,"['노래', '정말', '좋다']"
148,닫다,"배뎃은 매년 봄마다 고통을 받는다던데,,","['배뎃', '매년', '봄', '고통', '받다']"
149,sti***,이 곡 검색하려 검색창만 눌렀는데 추천첫번째로 뜨는ㅋㅋㄱㅋㅋㄱㅋㄱㄱㅋ역시,"['이', '곡', '검색', '하다', '검색', '창', '누르다', '추천', '첫', '뜨다', '역시']"
150,pusol3,연금이 돌아왔다,"['연금', '돌아오다']"
151,lUlN,들어도 봄같지 않으면 어떡하죠....주륵....,"['들다', '봄', '같다', '않다', '게', '주륵']"
152,khj***,역시 벚꽃좀비... 매년 들어도 매년 좋으니까 어쩔 수 없다!!,"['역시', '벚꽃', '좀비', '매년', '들다', '매년', '좋다', '수', '없다']"
153,죽,이 노래 나올 때 태어난 아이들이 지금 초등학교에 입학해서 어느새 떼창을 하고 있다는게 정말 소름돋는다...,"['이', '노래', '나오다', '때', '태어나다', '아이', '지금', '초등학교', '입학', '하다', '어느새다', '떼창', '하다', '있다', '정말', '소름', '돋다']"
154,lee***,저 또 연금가입할려고요. 10년납 60세부터 연금 받을려고요.,"['저', '또', '연금', '가입', '하다', '세', '연금', '받다']"
155,min***,2019년 봄 입니다.,"['봄', '이다']"
156,경청,벚꽃 구경 왔는데 중학교 여학생들이 떼창 하고 있네..시대를 초월 한 듯,"['벚꽃', '구경', '오다', '중학교', '여학생', '떼창', '하다', '있다', '시대', '초월', '하다', '듯']"
157,star,진짜 신기한게 매년 들어도 질리지가 않음... 대단쓰,"['진짜', '신기하다', '매년', '들다', '질리다', '않다', '대다', '쓰다']"
158,rim***,나의 20살을 대표해주던 노래ㅠㅠ,"['나', '살', '대표', '해주다', '노래']"
159,룰루,벚꽃 좀비,"['벚꽃', '좀비']"
160,jun***,이노래 진짜 마약같은 노래임,"['이노', '진짜', '마약', '같다', '노래', '임']"
161,경청,7년째네 하기야 어제 오늘 벚꽃 피니 자연스럽게 선곡이 된다.,"['어제', '오늘', '벚꽃', '피다', '자연', '선곡', '되다']"
162,WIZlinus,벚태식이 돌아왔구나,"['벚태식', '돌아오다']"
163,죠스,벚꽃좀비가 또..,"['벚꽃', '좀비', '또']"
164,lee***,연금 들어왔습니다. ㅎㅎㅎ,"['연금', '들어오다']"
165,f,올해도 시작됐다 !! 벚꽃연금!!,"['올해', '시작', '돼다', '벚꽃', '연금']"
166,gad***,꼭 그렇게 매년 들어야 속이 후련했냐!!!!,"['꼭', '매년', '들다', '속이다', '후련하다']"
167,lik,또 들으러 왔습니다 벚꽃연금,"['또', '들다', '오다', '벚꽃', '연금']"
168,💋,봄이다 🌸🌸,['봄']
169,살찐올빼미,"흩날려라, 벚꽃엔딩","['흩날리다', '벚꽃', '엔딩']"
170,고양이왕ㅕㅕㅕ,ㅋㅋ다시 스멀스멀 올라오는구만,"['다시', '올라오다']"
171,cil***,봄이구나...이 노래가 온거보면..,"['봄', '이', '노래', '오다', '보다']"
172,nin***,3~4월에는 벚꽃엔딩 차트인 7~8월에는 여수밤바다 차트인 ㅋㅋㅋㅋ,"['벚꽃', '엔딩', '차트', '여수', '밤', '바다', '차트']"
173,nin***,봄이 오고 있구나~~,"['봄', '오다', '있다']"
174,웅웅,올해도 혹시나가 역시나 ㅋㅋ,"['올해', '혹시', '나가다', '역시']"
175,mky***,남부지방 벚꽃 피니까 슬슬 올라오네 서울 벚꽃피면 절정이겠다,"['남부', '지방', '벚꽃', '피', '슬슬', '올라오다', '서울', '벚꽃', '피', '절정', '겠다']"
176,joy***,봄이라 어쩔수 없나봄...상징같은 곡이니까,"['봄', '수', '없다', '봄', '상징', '같다', '곡']"
177,딸기,이제 찾아들어야 된다니 ㅠㅠ... 1위까지 올라와죠 ㅠㅠ,"['이제', '찾다', '들다', '되다', '위', '올라오다']"
178,뀨,또 들으러 왔네요 ㅋㅋ,"['또', '들다', '오다']"
179,yhjo1423,벚꽃좀비..,"['벚꽃', '좀비']"
180,kor***,다시 벚꽃이 피기 시작하니까 여지없이 순위에 올라오네요~~^^,"['다시', '벚꽃', '피기', '시작', '여지', '순위', '올라오다']"
181,lol,와 개좋아 ㄷ ㄷ ㄷ 봄날시좋을대 자동반사,"['오다', '개', '좋다', '봄날', '시', '좋다', '자동', '반사']"
182,sseul,어김없이 다시 찾게되네요!! 안녕🙌🏻🙌🏻❣️🌸🌸,"['다시', '찾다', '되다', '안녕']"
183,풀먹는오월이,봄은 봄이구나ㅋㅋ,"['봄', '봄']"
184,ehd***,봄 시즌 연금 노래 탑 51위 명불허전 벚꽃엔딩2위 명수 아이스크림 러브블러썸3위 아이유의 봄 사랑 벚꽃말고4위 아스날5위 로꼬츄유주 우연히 봄,"['봄', '시즌', '연금', '노래', '탑', '위', '명불허전', '벚꽃', '엔딩', '위', '명수', '아이스크림', '러브', '블러', '썸', '위', '아이유', '봄', '사랑', '벚꽃', '위', '아스날', '위', '로꼬', '츄', '유주', '봄']"
185,neu***,좀 제발 그만좀.. 진짜 하아.. 이것때문에 버스커버스커 노래는 진짜 아예 안들음..,"['좀', '제발', '좀', '진짜', '것', '때문', '버스커버스커', '노래', '진짜', '아예', '들다']"
186,gms***,또 슬금슬금...,"['또', '슬금슬금']"
187,Zino,와웅 계속 또 상승 중 벚꽃엔딩은 끝나지 않는다..!,"['와웅', '계속', '또', '상승', '중', '벚꽃', '엔딩', '끝나다', '않다']"
188,스타벅스,🌸 봄이다아아~ 🌸,"['봄', '아아']"
189,wld***,이때 듣지 언제 들어~~~~~~~지금 이 맘때 쯤에 늘 매년 생각나는 노래고 이 곡 만큼 봄 느낌을 살려주는 곡이 없는듯...버스커버스커 다시 보고 싶다 ㅠㅠ,"['때', '듣다', '언제', '들다', '지금', '이', '맘때', '쯤', '늘', '매년', '생각나다', '노래', '이', '곡', '만큼', '봄', '느낌', '살리다', '곡', '없다', '버스커버스커', '다시', '보고', '싶다']"
190,찬또102,올해도 어김없이 봄이 왔구나... !,"['올해', '봄', '오다']"
