,youtube_id,comment,like_num
143,ASH,"BOL4 SOMGS MAKE ME FEEL LIKE I'M IN THIS REALLY PERFECT RELATIONSHIP, WHEN IN FACT I'M SINGLE AF.",3개
144,제페토유니,♡♡,2개
145,,"진짜 좋은노래네.맘에들었음.
그데 왜 그 장소를 골랐을까?나의 초등학교 딱 옆에있는데ㅋㅋㅋ
왜 오키나와였나?...",3개
146,MultifandomLia,"We are here for you Jiyoon no matter what, FIGHTING !!",11개
147,MichaelViernes,Finally. I found this song after 1.34 million years😂,6개
148,ayoung,沖縄で撮影されてるって事が県民としてとても嬉しいし、曲も声も綺麗でもう…好き。,3개
149,ColinKim,I died when jiyoung missed and hit jiyoon lmaooo,19개
150,AlisJeon,Army aquí!!,1개
151,김미꾸,와 노래 죽인다🙊🙊,1개
152,HuNguynTh,listen forever not bored,8개
153,손유정,처음 사랑하면 이런 기분 이구나 ...,1개
154,Nexik,"Just imagine BOL4 attends the ISAC and Jiyoung does the archery competition...
😂 😂 😂",458개
155,AsmairaMustapha,Who is here after HEAR the news about jiyoon leave?😭😭I CAN'T SEE JIYOUNG AS A SOLO ARTIST THIS MAY💔,36개
156,MdeBoer,"This song brings tears to my eyes, reminds me of the days we could walk outside",5개
157,VEINAD,날클립을 알고있니~,8개
158,GildaRivera,bol4 makes me hope for something bts can only give me. the heck HAHAHAHAH,5개
159,BudiLesmana,"Bolbbalgan4 ""Bom"" has 1,295,353 unique listeners in first 24 hours and 5th roofhits on MelOn.
 (currently at no.1 on melon)
 
Bolbbalgan4 ""Stars over me"" has 908,043 unique listeners in first 24 hours on MelOn.
  (currently at no.2 on melon)
 
Bolbbalgan4 are literally on fire. 🔥🔥🔥",402개
160,CarolynD,0:38 THAT WHIPLASH HAHAHAHA,0개
161,OlsenDuran,Parting brought me here,1개
162,엄미숙,안지영 님  노래가 좋네용,1개
163,RaynhSalles,Essa música é viciante véi,1개
164,남주연,"난 이노래 되게 슬프던데 
뭔가 난 엄청 좋아하는데 상대방은 날 안좋아해서 관계가 안될수밖에 없으니까 벚꽃도 뭐고 다필요없고 너만 필요하다ㅠㅠ 이런 간절한느낌이랄까 한마디로 짝사랑이니까 그관점이라 그런지 너무 슬펐다ㅠ",745개
165,THATLOUDBXTCH,This song gives me so much nostalgia and excites me to fall inlove🤧💜💛,6개
166,heekkiefavoritepeach,"jiyoung: sing the whole song 
shofa music ...
 jiyeon: a-
 shofa music: oh my god you sing a lot :000",7개
167,SophiaLim,"tbh, she makes me think of the girl from Itaewon Class",5개
168,,ยังเลิฟเพลงนี้แล้วก็BOL4อยู่นะ ถึงจะเปลี่ยนไปติ่งGMMแล้วก็เถอะ ฟังเพลงนี้แล้วรู้สึกคิดถึงตอนติ่งBOL4จังเลยว่ะ🙂💚,1개
