,youtube_id,comment,like_num
108,이불꽃놀이는끝나지않을거야,아이유 집콕 시그널 보고 온 사람!!,0개
109,MarmikThakkar,어디다 사과티비 검색하면 되나요?? 좀 궁금하긴 하네요 그정도에요?,0개
110,1212123,이제 많이들을 노래////🤗🤗,1개
111,이성진,"배드민턴 치자고 꼬셔 
커피 한 잔 하자고 불러 
동네 한 번 걷자고 꼬셔 
넌 한 번도 그래 안 된다는 말이 없었지 

꽃송이가 꽃송이가 그래 그래 피었네 
꽃송이가 꽃송이가 그 꽃 한 송이가 그래 그래 피었구나 

거리에 사람들 수많은 사람들 그 길에 사람들 
그래 나는 네게 얼마만큼 특별한 건지 
그게 어려운 거야 그게 어려운 거라 그게 어려운 거야 

맛있는 거 먹자고 꼬셔 
영화 보러 가자고 불러 
단대 호수 걷자고 꼬셔 
넌 한 번도 그래 안 된다는 말이 없었지 

꽃송이가 꽃송이가 그래 그래 피었네 
꽃송이가 꽃송이가 그 꽃 한 송이가 그래 그래 피었구나 

거리에 사람들 수많은 사람들 그 길에 사람들 
그래 나는 네게 얼마만큼 특별한 건지 
그게 어려운 거야 그게 어려운 거라 그게 어려운 거야 
좋아 좋아 하모니카 솔로 

꽃송이가 꽃송이가 꽃송이가 그래 그래 피었네 
꽃송이가 꽃송이가 그 꽃 한 송이가 그래 그래 피었구나 

거리에 사람들 수많은 사람들 그 길에 사람들 
그래 나는 네게 얼마만큼 특별한 건지 
그게 어려운 거야 그게 어려운 거라 그게 어려운 거야",48개
112,김윤겸,여름에도 듣는 노래,0개
113,레자바지,벌써 이노래가 나온지 4년째이네,1개
114,키티,김민석보고 온사람,0개
115,안녕,갓범준 ㄷㄷ,1개
116,권승현,너무 잘꺾는다..,2개
117,한솔로,"벚꽃 필 때 한정 벚꽃엔딩,  봄 내내 듣는 건 꽃송이가",2개
118,일조달러,배드민턴으로도 꼬실수 있을 것 같은 분위기.,4개
119,사랑꾼사랑을노래하는채널,전주에 들리는 하모니카 소리가 봄을 연상시키고 엔돌핀을 돌게함,0개
120,mbc공중화장실개미핥기조련사엄준식,"이 노래가 나온지 벌써 7년이 흘렀네요 






ㄷㄷ",0개
121,없음알수,봄느낌은 벚꽃엔딩보다 훨씬 많이난다.. 좋다..,0개
122,MichaelCatson,마약같은 노래,14개
123,김지환,아는 형님 보고 옴,0개
124,사람,19년에 올사람 손,1개
125,전지구,버스커 버스커 노래중 가장 애정하는 노래! 봄이 오니까 또 듣는다 최고당,0개
126,향유고래,군대 전역하고 22살때의 추억들이 떠오르게 하는 노래네..,0개
127,정현서,18년에 온 사람 손,1개
128,살지뭐하면서,괜히 이노래 들으면...짝이 있는 기분이다 기분이라도 내야지..,0개
129,김도언,갑자기 생각나서 왔는데 역시 좋네,3개
130,이규빈,그래그래하모니카솔로!!,11개
131,묭묭,버스커 봄노래만 들으면 마음이 몽글몽글 기분 좋아지고 벚꽃 구경하면서 드라이브하고 싶어짐,0개
132,김수한무거북이와두루미삼천갑사동방,하모니카도 끝내주네,11개
133,쩡마니tv,좋고~~꽃송이가 ~~,1개
