,youtube_id,comment,like_num,processed_comment
298,LINGI,"배드민턴 치자고 꼬셔
커피 한 잔 하자고 불러
동네 한 번 걷자고 꼬셔
넌 한 번도 그래 안 된다는 말이 없었지

꽃송이가 꽃송이가 그래 그래 피었네
꽃송이가 꽃송이가 그 꽃 한 송이가 그래 그래 피었구나

거리에 사람들 수많은 사람들 그 길에 사람들
그래 나는 네게 얼마만큼 특별한 건지
그게 어려운 거야 그게 어려운 거라 그게 어려운 거야

맛있는 거 먹자고 꼬셔
영화 보러 가자고 불러
단대 호수 걷자고 꼬셔
넌 한 번도 그래 안 된다는 말이 없었지

꽃송이가 꽃송이가 그래 그래 피었네
꽃송이가 꽃송이가 그 꽃 한 송이가 그래 그래 피었구나

거리에 사람들 수많은 사람들 그 길에 사람들
그래 나는 네게 얼마만큼 특별한 건지
그게 어려운 거야 그게 어려운 거라 그게 어려운 거야
좋아 좋아 하모니카 솔로

꽃송이가 꽃송이가 꽃송이가 그래 그래 피었네
꽃송이가 꽃송이가 그 꽃 한 송이가 그래 그래 피었구나

거리에 사람들 수많은 사람들 그 길에 사람들
그래 나는 네게 얼마만큼 특별한 건지
그게 어려운 거야 그게 어려운 거라 그게 어려운 거야",53개,"['배드민턴', '치자', '꼬셔', '커피', '하다', '잔', '하자', '불다', '동네', '하다', '번', '걷다', '꼬셔', '넌', '하다', '번', '그렇다', '안', '되다', '말', '없다', '꽃송이', '꽃송이', '그렇다', '그렇다', '피다', '꽃송이', '꽃송이', '그', '꽃', '하다', '송이', '그렇다', '그렇다', '피다', '거리', '사람', '수많다', '사람', '그', '길', '사람', '그렇다', '나', '네', '얼마만큼', '특별하다', '건지다', '그게', '어렵다', '그게', '어렵다', '거', '그게', '어렵다', '맛있다', '거', '먹다', '꼬셔', '영화', '보다', '가다', '불다', '단대', '호수', '걷다', '꼬셔', '넌', '하다', '번', '그렇다', '안', '되다', '말', '없다', '꽃송이', '꽃송이', '그렇다', '그렇다', '피다', '꽃송이', '꽃송이', '그', '꽃', '하다', '송이', '그렇다', '그렇다', '피다', '거리', '사람', '수많다', '사람', '그', '길', '사람', '그렇다', '나', '네', '얼마만큼', '특별하다', '건지다', '그게', '어렵다', '그게', '어렵다', '거', '그게', '어렵다', '좋다', '좋다', '하모니카', '솔로', '꽃송이', '꽃송이', '꽃송이', '그렇다', '그렇다', '피다', '꽃송이', '꽃송이', '그', '꽃', '하다', '송이', '그렇다', '그렇다', '피다', '거리', '사람', '수많다', '사람', '그', '길', '사람', '그렇다', '나', '네', '얼마만큼', '특별하다', '건지다', '그게', '어렵다', '그게', '어렵다', '거', '그게', '어렵다']"
299,박건우,노래 좋아여,0개,"['노래', '좋다']"
300,YoussefPC,님도 사과티비 보셨음? 저도요 와 진짜 쩔어버렸네,0개,"['님', '사과', '티비', '보다', '도', '오다', '진짜', '쩔다', '버리다']"
301,팬치노가리,내가 더더,0개,"['내', '더더']"
302,없음알수,봄느낌은 벚꽃엔딩보다 훨씬 많이난다.. 좋다..,0개,"['봄', '느낌', '벚꽃', '엔딩', '나다', '좋다']"
303,박재우,19년에 온사람 손,3개,"['사람', '손']"
304,HavinHwang,"듣고싶고, 들으면 추억을 불러오는 노래니까 클래식인갑다",0개,"['듣다', '들다', '추억', '불다', '노래', '클래식', '가다']"
305,이우람,저장범준님펜이에요,0개,"['장범준', '펜']"
306,안녕하세요,18년에 온사람손,0개,"['사람', '손']"
307,TEAMSINGTOGETER,왜 다 하나같이 공감될까,0개,"['왜', '공감', '되다']"
308,보름달,겨울에 듣는데 봄느낌이 난다,0개,"['겨울', '듣다', '봄', '느낌', '나다']"
309,이토끼,서울대학교 의과대학,0개,"['서울대학교', '의과대학']"
310,이재오,서원,0개,['서원']
311,토비맥과이어,기타시험곡;; 어렵다,0개,"['기타', '시험', '곡', '어렵다']"
