,melon_id,댓글,processed_comment
569,kym67420,슬슬 올라오기 시작했군. 꽃이 필 때 쯤이면 극상하겠지!,"['슬슬', '올라오다', '시작', '하다', '꽃', '필', '때', '쯤', '극상', '하다']"
570,큐베큐베,슬슬 날씨 따뜻해지는데 스믈스믈 올라오겟거니 해서 봤더니 또 왔네,"['슬슬', '날씨', '따뜻하다', '스믈스믈', '올라오다', '하다', '보다', '또', '오다']"
571,뭘해야안겹치냐,매년 들어도 좋다♡,"['매년', '들다', '좋다']"
572,AWESON7,실실 쥐도새도 모르게 순위권 진입해버리제~,"['실실', '쥐', '새다', '모르다', '순위', '진입', '하다', '버리다', '제']"
573,최밤규하트,장봄준 들으러왓다요,"['장봄준', '들다', '왓다']"
574,givemepraise,길터놔라 장봄준님 행차하신다,"['길터', '놓다', '장봄준', '행차', '하다']"
575,윾리둥절,올해도 어김없이 2~3월 연례행사 하는군,"['올해', '연례', '행사', '하다']"
576,캡비,와 초5때 이 노래 들은 게 아직도 생생한디 지금 독서실에서 수능공부하고있네 ♩♪탱ㅠㅠ 흑흑 수능 올1 나오게 해주세요ㅠㅠㅠ,"['오다', '초', '때', '이', '노래', '들다', '게', '생생하다', '지금', '독서실', '수능', '공부', '있다', '수능', '오다', '나오다', '해주다']"
577,ecnacavecnacav,버스커 버스커는 앨범 안 내도 이 곡 때문에 일상생활 쌉가능,"['버스커', '버스커', '앨범', '안', '내다', '이', '곡', '때문', '일상생활', '싸다', '가능']"
578,충국으리,쭉쭉 올라가자,"['쭉쭉', '올라가다']"
579,MAN0,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 매년 생각나는노래,"['진짜', '매년', '생각나다', '노래']"
580,댕미,올라...온다.....,"['오르다', '오다']"
581,awwojg,진짜 1년에 한번울리는 봄알람같다ㅋㅋㅋ,"['진짜', '한번', '울리다', '봄', '알람', '같다']"
582,iiii_l,ㄹㅇ 연금곡이다,"['연금', '곡']"
583,송채이,ㄹㅇ 벚꽃좀비 아니냐 ㅋㅋㅋ,"['벚꽃', '좀비', '아니다']"
584,Camarero,봄이여 오라,"['봄', '오라']"
585,유주하_,봄오는 증거다 즈말로 오늘날씨 개좋♥♥,"['보다', '증거', '말로', '오늘날', '개', '좋다']"
586,9cas10,지금 현재 39위,"['지금', '현재', '위']"
587,여우비may,장범준 짱,"['장범준', '짱']"
588,magic__,어서와 1년만이지?,['어서']
589,tnnd,또 스멀스멀올라오네,"['또', '올라오다']"
590,Prayformercy,ㄹㅇ벚꽃좀비 51위..,"['벚꽃', '좀비', '위']"
591,연재,2012년에 나온 노래라고??ㅋㅋㅋㅋㅋ7년째 차트 인이네 와...,"['나오다', '노래', '차트', '인', '오다']"
592,앚엑,벚꽃좀비 부활하신다ㄷ,"['벚꽃', '좀비', '부활', '하다']"
593,탈퇴한 회원,오늘도 같이 걷게되네요 이 거리를,"['오늘', '걷다', '되다', '이', '거리']"
594,꽃.길.따라,안녕 또 보네,"['안녕', '또', '보다']"
595,갓임,진짜 오늘 같은 날씨가 쭉 이어졌으면...,"['진짜', '오늘', '같다', '날씨', '쭉', '이어지다']"
596,형준,어떤 노래를 들으면 그 노래를 처음 듣고 따라부르던 그 시절이 생각나는 그런게 있나보다,"['어떻다', '노래', '들다', '그', '노래', '처음', '듣다', '따르다', '부르다', '그', '시절', '생각나다', '그렇다', '있다']"
597,다슬기슬기다슬기,와.... 진짜 스물스물 올라오더니 차트 중간 왔네여 ㅎㅎ 더올라가자~~,"['오다', '진짜', '스물', '스물', '올라오다', '차트', '중간', '오다', '여', '더', '올라가다']"
598,고맙구나,왜 눈물이 나냐..ㅜㅜ,"['왜', '눈물', '나다']"
599,Min.72,와 ㅋ 46등.. 진짜 봄이네,"['오다', '진짜', '봄']"
600,Shfur.,"장봄준님의 봄캐롤이 스물스물 올라 오는걸 보니 봄이 오는구나,,,","['장봄준', '봄', '캐롤', '스물', '스물', '오르다', '는걸', '보다', '봄', '오다']"
601,unknown3637,63등 와 진짜 봄왔나보다,"['오다', '진짜', '봄', '오다']"
602,옆태미녀,봄 시작 ~~,"['봄', '시작']"
